PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,S
714,0,3,"Larsson, Mr. August Viktor",male,29.0,0,0,7545,9.4833,,S
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,,C
396,0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052,7.7958,,S
279,0,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,,Q
215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S
891,0,3,"Dooley, Mr. Patrick",male,32.0,0,0,370376,7.75,,Q
724,0,2,"Hodges, Mr. Henry Price",male,50.0,0,0,250643,13.0,,S
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,S
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
695,0,1,"Weir, Col. John",male,60.0,0,0,113800,26.55,,S
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C
239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,S
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C
407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,,S
425,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,S
793,0,3,"Sage, Miss. Stella Anna",female,,8,2,CA. 2343,69.55,,S
849,0,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,S
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C
634,0,1,"Parr, Mr. William Henry Marsh",male,,0,0,112052,0.0,,S
784,0,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S
599,0,3,"Boulos, Mr. Hanna",male,,0,0,2664,7.225,,C
770,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32.0,0,0,8471,8.3625,,S
620,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,S
575,0,3,"Rush, Mr. Alfred George John",male,16.0,0,0,A/4. 20589,8.05,,S
380,0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,,S
657,0,3,"Radeff, Mr. Alexander",male,,0,0,349223,7.8958,,S
772,0,3,"Jensen, Mr. Niels Peder",male,48.0,0,0,350047,7.8542,,S
261,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q
481,0,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,CA 2144,46.9,,S
397,0,3,"Olsson, Miss. Elina",female,31.0,0,0,350407,7.8542,,S
768,0,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q
462,0,3,"Morley, Mr. William",male,34.0,0,0,364506,8.05,,S
467,0,2,"Campbell, Mr. William",male,,0,0,239853,0.0,,S
735,0,2,"Troupiansky, Mr. Moses Aaron",male,23.0,0,0,233639,13.0,,S
706,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,S
553,0,3,"O'Brien, Mr. Timothy",male,,0,0,330979,7.8292,,Q
723,0,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,S
351,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,S
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q
589,0,3,"Gilinski, Mr. Eliezer",male,22.0,0,0,14973,8.05,,S
236,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S
696,0,2,"Chapman, Mr. Charles Henry",male,52.0,0,0,248731,13.5,,S
722,0,3,"Jensen, Mr. Svend Lauritz",male,17.0,1,0,350048,7.0542,,S
546,0,1,"Nicholson, Mr. Arthur Ernest",male,64.0,0,0,693,26.0,,S
808,0,3,"Pettersson, Miss. Ellen Natalia",female,18.0,0,0,347087,7.775,,S
576,0,3,"Patchett, Mr. George",male,19.0,0,0,358585,14.5,,S
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S
315,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,S
518,0,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q
817,0,3,"Heininen, Miss. Wendla Maria",female,23.0,0,0,STON/O2. 3101290,7.925,,S
267,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,,S
878,0,3,"Petroff, Mr. Nedelio",male,19.0,0,0,349212,7.8958,,S
874,0,3,"Vander Cruyssen, Mr. Victor",male,47.0,0,0,345765,9.0,,S
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S
758,0,2,"Bailey, Mr. Percy Andrew",male,18.0,0,0,29108,11.5,,S
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C
439,0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,S
263,0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,E67,S
327,0,3,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,345364,6.2375,,S
235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,S
669,0,3,"Cook, Mr. Jacob",male,43.0,0,0,A/5 3536,8.05,,S
492,0,3,"Windelov, Mr. Einar",male,21.0,0,0,SOTON/OQ 3101317,7.25,,S
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C
639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41.0,0,5,3101295,39.6875,,S
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,S
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S
375,0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,,S
250,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,S
393,0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,S
664,0,3,"Coleff, Mr. Peju",male,36.0,0,0,349210,7.4958,,S
871,0,3,"Balkic, Mr. Cerin",male,26.0,0,0,349248,7.8958,,S
177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,,S
476,0,1,"Clifford, Mr. George Quincy",male,,0,0,110465,52.0,A14,S
472,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S
353,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,,C
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S
668,0,3,"Rommetvedt, Mr. Knud Paust",male,,0,0,312993,7.775,,S
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C
584,0,1,"Ross, Mr. John Hugo",male,36.0,0,0,13049,40.125,A10,C
614,0,3,"Horgan, Mr. John",male,,0,0,370377,7.75,,Q
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C
720,0,3,"Johnson, Mr. Malkolm Joackim",male,33.0,0,0,347062,7.775,,S
647,0,3,"Cor, Mr. Liudevit",male,19.0,0,0,349231,7.8958,,S
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,,S
522,0,3,"Vovk, Mr. Janko",male,22.0,0,0,349252,7.8958,,S
783,0,1,"Long, Mr. Milton Clyde",male,29.0,0,0,113501,30.0,D6,S
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S
333,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S
697,0,3,"Kelly, Mr. James",male,44.0,0,0,363592,8.05,,S
506,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C
769,0,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S
852,0,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,S
736,0,3,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,,S
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C
705,0,3,"Hansen, Mr. Henrik Juul",male,26.0,1,0,350025,7.8542,,S
719,0,3,"McEvoy, Mr. Michael",male,,0,0,36568,15.5,,Q
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,,S
675,0,2,"Watson, Mr. Ennis Hastings",male,,0,0,239856,0.0,,S
389,0,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
362,0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,,C
598,0,3,"Johnson, Mr. Alfred",male,49.0,0,0,LINE,0.0,,S
771,0,3,"Lievens, Mr. Rene Aime",male,24.0,0,0,345781,9.5,,S
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073,7.75,,S
637,0,3,"Leinonen, Mr. Antti Gustaf",male,32.0,0,0,STON/O 2. 3101292,7.925,,S
703,0,3,"Barbara, Miss. Saiide",female,18.0,0,1,2691,14.4542,,C
855,0,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,1,0,244252,26.0,,S
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,,S
494,0,1,"Artagaveytia, Mr. Ramon",male,71.0,0,0,PC 17609,49.5042,,C
679,0,3,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43.0,1,6,CA 2144,46.9,,S
288,0,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206,7.8958,,S
629,0,3,"Bostandyeff, Mr. Guentcho",male,26.0,0,0,349224,7.8958,,S
730,0,3,"Ilmakangas, Miss. Pieta Sofia",female,25.0,1,0,STON/O2. 3101271,7.925,,S
816,0,1,"Fry, Mr. Richard",male,,0,0,112058,0.0,B102,S
321,0,3,"Dennis, Mr. Samuel",male,22.0,0,0,A/5 21172,7.25,,S
801,0,2,"Ponesell, Mr. Martin",male,34.0,0,0,250647,13.0,,S
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S
332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C
834,0,3,"Augustsson, Mr. Albert",male,23.0,0,0,347468,7.8542,,S
489,0,3,"Somerton, Mr. Francis William",male,30.0,0,0,A.5. 18509,8.05,,S
532,0,3,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C
406,0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,S
202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S
361,0,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088,27.9,,S
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S
683,0,3,"Olsvigen, Mr. Thor Anderson",male,20.0,0,0,6563,9.225,,S
378,0,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C82,C
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C
617,0,3,"Danbom, Mr. Ernst Gilbert",male,34.0,1,1,347080,14.4,,S
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,,S
414,0,2,"Cunningham, Mr. Alfred Fleming",male,,0,0,239853,0.0,,S
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,,S
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S
837,0,3,"Pasic, Mr. Jakob",male,21.0,0,0,315097,8.6625,,S
440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,S
318,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,S
734,0,2,"Berriman, Mr. William John",male,23.0,0,0,28425,13.0,,S
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,S
281,0,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,,Q
491,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,65304,19.9667,,S
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,S
222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,,S
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S
525,0,3,"Kassem, Mr. Fared",male,,0,0,2700,7.2292,,C
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,,S
243,0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,,S
812,0,3,"Lester, Mr. James",male,39.0,0,0,A/4 48871,24.15,,S
886,0,3,"Rice, Mrs. William (Margaret Norton)",female,39.0,0,5,382652,29.125,,Q
606,0,3,"Lindell, Mr. Edvard Bengtsson",male,36.0,1,0,349910,15.55,,S
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S
543,0,3,"Andersson, Miss. Sigrid Elisabeth",female,11.0,4,2,347082,31.275,,S
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,,S
285,0,1,"Smith, Mr. Richard William",male,,0,0,113056,26.0,A19,S
779,0,3,"Kilgannon, Mr. Thomas J",male,,0,0,36865,7.7375,,Q
264,0,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S
806,0,3,"Johansson, Mr. Karl Johan",male,31.0,0,0,347063,7.775,,S
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S
656,0,2,"Hickman, Mr. Leonard Mark",male,24.0,2,0,S.O.C. 14879,73.5,,S
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,,S
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C
612,0,3,"Jardin, Mr. Jose Neto",male,,0,0,SOTON/O.Q. 3101305,7.05,,S
621,0,3,"Yasbeck, Mr. Antoni",male,27.0,1,0,2659,14.4542,,C
712,0,1,"Klaber, Mr. Herman",male,,0,0,113028,26.55,C124,S
788,0,3,"Rice, Master. George Hugh",male,8.0,4,1,382652,29.125,,Q
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,,S
607,0,3,"Karaic, Mr. Milan",male,30.0,0,0,349246,7.8958,,S
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q
379,0,3,"Betros, Mr. Tannous",male,20.0,0,0,2648,4.0125,,C
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
794,0,1,"Hoyt, Mr. William Fisher",male,,0,0,PC 17600,30.6958,,C
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,,S
585,0,3,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C
232,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,,S
591,0,3,"Rintamaki, Mr. Matti",male,35.0,0,0,STON/O 2. 3101273,7.125,,S
814,0,3,"Andersson, Miss. Ebba Iris Alfrida",female,6.0,4,2,347082,31.275,,S
624,0,3,"Hansen, Mr. Henry Damsgaard",male,21.0,0,0,350029,7.8542,,S
877,0,3,"Gustafsson, Mr. Alfred Ossian",male,20.0,0,0,7534,9.8458,,S
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C
363,0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,,C
549,0,3,"Goldsmith, Mr. Frank John",male,33.0,1,1,363291,20.525,,S
618,0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1,0,A/5. 3336,16.1,,S
424,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080,14.4,,S
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S
356,0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,,S
274,0,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C118,C
426,0,3,"Wiseman, Mr. Phillippe",male,,0,0,A/4. 34244,7.25,,S
851,0,3,"Andersson, Master. Sigvard Harald Elias",male,4.0,4,2,347082,31.275,,S
466,0,3,"Goncalves, Mr. Manuel Estanslas",male,38.0,0,0,SOTON/O.Q. 3101306,7.05,,S
785,0,3,"Ali, Mr. William",male,25.0,0,0,SOTON/O.Q. 3101312,7.05,,S
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S
314,0,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243,7.8958,,S
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S
539,0,3,"Risien, Mr. Samuel Beard",male,,0,0,364498,14.5,,S
569,0,3,"Doharr, Mr. Tannous",male,,0,0,2686,7.2292,,C
409,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992,7.775,,S
515,0,3,"Coleff, Mr. Satio",male,24.0,0,0,349209,7.4958,,S
632,0,3,"Lundahl, Mr. Johan Svensson",male,51.0,0,0,347743,7.0542,,S
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,S
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S
465,0,3,"Maisner, Mr. Simon",male,,0,0,A/S 2816,8.05,,S
688,0,3,"Dakic, Mr. Branko",male,19.0,0,0,349228,10.1708,,S
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S
509,0,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,C 4001,22.525,,S
762,0,3,"Nirva, Mr. Iisakki Antino Aijo",male,41.0,0,0,SOTON/O2 3101272,7.125,,S
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C
421,0,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C
862,0,2,"Giles, Mr. Frederick Edward",male,21.0,1,0,28134,11.5,,S
266,0,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248,10.5,,S
526,0,3,"Farrell, Mr. James",male,40.5,0,0,367232,7.75,,Q
373,0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951,8.05,,S
813,0,2,"Slemen, Mr. Richard James",male,35.0,0,0,28206,10.5,,S
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S
603,0,1,"Harrington, Mr. Charles H",male,,0,0,113796,42.4,,S
630,0,3,"O'Connell, Mr. Patrick D",male,,0,0,334912,7.7333,,Q
590,0,3,"Murdlin, Mr. Joseph",male,,0,0,A./5. 3235,8.05,,S
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S
641,0,3,"Jensen, Mr. Hans Peder",male,20.0,0,0,350050,7.8542,,S
488,0,1,"Kent, Mr. Edward Austin",male,58.0,0,0,11771,29.7,B37,C
501,0,3,"Calic, Mr. Petar",male,17.0,0,0,315086,8.6625,,S
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S
868,0,1,"Roebling, Mr. Washington Augustus II",male,31.0,0,0,PC 17590,50.4958,A24,S
796,0,2,"Otter, Mr. Richard",male,39.0,0,0,28213,13.0,,S
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S
663,0,1,"Colley, Mr. Edward Pomeroy",male,47.0,0,0,5727,25.5875,E58,S
625,0,3,"Bowen, Mr. David John ""Dai""",male,21.0,0,0,54636,16.1,,S
455,0,3,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S
336,0,3,"Denkoff, Mr. Mitto",male,,0,0,349225,7.8958,,S
535,0,3,"Cacic, Miss. Marija",female,30.0,0,0,315084,8.6625,,S
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S
523,0,3,"Lahoud, Mr. Sarkis",male,,0,0,2624,7.225,,C
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S
